Nest_label,Species,Year,Colony,Site,Latitude,Longitude,DateFound,StageFound,DateLastAlive,DateLastChecked,LastStage,Completed,SUCCESS
ANTE_2016_Cyclops__1,ANTE,2016,Cyclops,Cyclops,,,2016-12-06,INCU,2016-12-30,2017-01-25,FLED,1,1
ANTE_2016_Cyclops__10,ANTE,2016,Cyclops,Cyclops,,,2017-01-06,INCU,2017-01-25,2017-02-24,FLED,1,1
ANTE_2016_Cyclops__12,ANTE,2016,Cyclops,Cyclops,,,2017-01-06,INCU,2017-01-25,2017-02-24,FLED,1,1
ANTE_2016_Cyclops__13,ANTE,2016,Cyclops,Cyclops,,,2017-02-24,CHIC,2017-02-24,2017-02-24,CHIC,0,1
ANTE_2016_Cyclops__2,ANTE,2016,Cyclops,Cyclops,,,2016-12-06,INCU,2017-01-06,2017-01-25,FLED,1,1
ANTE_2016_Cyclops__3,ANTE,2016,Cyclops,Cyclops,,,2016-12-06,INCU,2017-01-06,2017-01-25,FAIL,0,0
ANTE_2016_Cyclops__4,ANTE,2016,Cyclops,Cyclops,,,2016-12-06,INCU,2016-12-06,2016-12-30,FAIL,0,0
ANTE_2016_Cyclops__5,ANTE,2016,Cyclops,Cyclops,,,2016-12-06,INCU,2016-12-06,2016-12-30,FAIL,0,0
ANTE_2016_Cyclops__7,ANTE,2016,Cyclops,Cyclops,,,2016-12-30,INCU,2017-01-25,2017-02-24,FLED,1,1
ANTE_2016_Cyclops__8,ANTE,2016,Cyclops,Cyclops,,,2016-12-30,INCU,2016-12-30,2017-01-06,FAIL,0,0
ANTE_2016_Cyclops__9,ANTE,2016,Cyclops,Cyclops,,,2016-12-30,INCU,2017-01-25,2017-02-24,FLED,1,1
ANTE_2016_Rivercrossing__1,ANTE,2016,Unknown,Rivercrossing,,,2017-01-06,INCU,2017-01-25,2017-02-17,FLED,1,1
ANTE_2016_Snoekgat__1,ANTE,2016,Snoekgat,Snoekgat,,,2016-12-28,CHIC,2017-01-06,2017-02-17,FLED,1,1
ANTE_2016_Snoekgat__2,ANTE,2016,Snoekgat,Snoekgat,,,2016-12-28,INCU,2016-12-28,2017-01-06,FAIL,0,0
ANTE_2016_Snoekgat__4,ANTE,2016,Snoekgat,Snoekgat,,,2016-12-28,INCU,2017-01-06,2017-02-17,FAIL,0,0
