Nest_label,Species,Year,Colony,Site,Latitude,Longitude,DateFound,StageFound,DateLastAlive,DateLastChecked,LastStage,Completed,SUCCESS
AYNA_2010__NA_A05,AYNA,2010,,,,,2010-09-13,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A06,AYNA,2010,,,,,2010-09-08,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A07,AYNA,2010,,,,,2010-09-11,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A08,AYNA,2010,,,,,2010-09-08,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A09,AYNA,2010,,,,,2010-09-20,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A17,AYNA,2010,,,,,2010-09-09,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A26,AYNA,2010,,,,,2010-09-12,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_A32,AYNA,2010,,,,,2010-09-04,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A33,AYNA,2010,,,,,2010-09-12,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_A36,AYNA,2010,,,,,2010-09-07,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A39,AYNA,2010,,,,,2010-09-10,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_A41,AYNA,2010,,,,,2010-09-08,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_A45,AYNA,2010,,,,,2010-09-19,INCU,2010-12-07,2010-12-07,INCU,0,1
AYNA_2010__NA_A56,AYNA,2010,,,,,2010-09-11,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A57,AYNA,2010,,,,,2010-09-28,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_A79,AYNA,2010,,,,,2010-09-22,,2010-10-30,2010-10-30,INCU,0,1
AYNA_2010__NA_A86,AYNA,2010,,,,,2010-08-28,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_A94,AYNA,2010,,,,,2010-09-11,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_C02,AYNA,2010,,,,,2010-09-02,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C03,AYNA,2010,,,,,2010-09-08,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C09,AYNA,2010,,,,,2010-09-13,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C10,AYNA,2010,,,,,2010-09-06,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_C14,AYNA,2010,,,,,2010-09-07,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C15,AYNA,2010,,,,,2010-09-09,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_C22,AYNA,2010,,,,,2010-09-28,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_C33,AYNA,2010,,,,,2010-09-15,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C34,AYNA,2010,,,,,2010-09-14,,2011-04-06,2011-04-19,FLED,1,1
AYNA_2010__NA_C53,AYNA,2010,,,,,2010-09-12,,2011-04-19,2011-05-06,FLED,1,1
AYNA_2010__NA_C56,AYNA,2010,,,,,2010-09-26,,2011-04-19,2011-05-06,FLED,1,1
