VisitID,Species,Breed_Stage,COHORT,N,Colony,DATE,Method
143,NRPE,INCU,AD,56,Admirals,05/11/2015,COLO
173,NRPE,INCU,AD,56,Admirals,05/11/2015,COLO
158,NRPE,INCU,AD,56,Admirals,05/11/2015,COLO
143,NRPE,INCU,AD,222,Admirals,05/11/2015,COLO
173,NRPE,INCU,AD,222,Admirals,05/11/2015,COLO
158,NRPE,INCU,AD,222,Admirals,05/11/2015,COLO
143,NRPE,INCU,AD,1592,Admirals,05/11/2015,COLO
173,NRPE,INCU,AD,1592,Admirals,05/11/2015,COLO
158,NRPE,INCU,AD,1592,Admirals,05/11/2015,COLO
143,NRPE,INCU,INCU,24,Admirals,05/11/2015,COLO
173,NRPE,INCU,INCU,24,Admirals,05/11/2015,COLO
158,NRPE,INCU,INCU,24,Admirals,05/11/2015,COLO
143,NRPE,INCU,INCU,109,Admirals,05/11/2015,COLO
173,NRPE,INCU,INCU,109,Admirals,05/11/2015,COLO
158,NRPE,INCU,INCU,109,Admirals,05/11/2015,COLO
143,NRPE,INCU,INCU,1027,Admirals,05/11/2015,COLO
173,NRPE,INCU,INCU,1027,Admirals,05/11/2015,COLO
158,NRPE,INCU,INCU,1027,Admirals,05/11/2015,COLO
144,NRPE,CHIC,CHIC,16,Admirals,07/01/2017,COLO
159,NRPE,CHIC,CHIC,16,Admirals,07/01/2017,COLO
174,NRPE,CHIC,CHIC,16,Admirals,07/01/2017,COLO
144,NRPE,CHIC,CHIC,86,Admirals,07/01/2017,COLO
159,NRPE,CHIC,CHIC,86,Admirals,07/01/2017,COLO
174,NRPE,CHIC,CHIC,86,Admirals,07/01/2017,COLO
144,NRPE,CHIC,CHIC,748,Admirals,07/01/2017,COLO
159,NRPE,CHIC,CHIC,748,Admirals,07/01/2017,COLO
174,NRPE,CHIC,CHIC,748,Admirals,07/01/2017,COLO
138,NRPE,CHIC,CHIC,514,Admirals,07/12/2008,COLO
160,NRPE,CHIC,CHIC,0,Admirals,12/01/2012,COLO
175,NRPE,CHIC,CHIC,0,Admirals,12/01/2012,COLO
145,NRPE,CHIC,CHIC,0,Admirals,12/01/2012,COLO
160,NRPE,CHIC,CHIC,8,Admirals,12/01/2012,COLO
175,NRPE,CHIC,CHIC,8,Admirals,12/01/2012,COLO
145,NRPE,CHIC,CHIC,8,Admirals,12/01/2012,COLO
160,NRPE,CHIC,CHIC,306,Admirals,12/01/2012,COLO
175,NRPE,CHIC,CHIC,306,Admirals,12/01/2012,COLO
145,NRPE,CHIC,CHIC,306,Admirals,12/01/2012,COLO
139,NRPE,CHIC,CHIC,365,Admirals,13/01/2009,COLO
146,NRPE,CHIC,CHIC,6,Admirals,13/01/2015,COLO
161,NRPE,CHIC,CHIC,6,Admirals,13/01/2015,COLO
176,NRPE,CHIC,CHIC,6,Admirals,13/01/2015,COLO
146,NRPE,CHIC,CHIC,52,Admirals,13/01/2015,COLO
161,NRPE,CHIC,CHIC,52,Admirals,13/01/2015,COLO
176,NRPE,CHIC,CHIC,52,Admirals,13/01/2015,COLO
146,NRPE,CHIC,CHIC,690,Admirals,13/01/2015,COLO
161,NRPE,CHIC,CHIC,690,Admirals,13/01/2015,COLO
176,NRPE,CHIC,CHIC,690,Admirals,13/01/2015,COLO
162,NRPE,INCU,AD,40,Admirals,13/10/2010,COLO
147,NRPE,INCU,AD,40,Admirals,13/10/2010,COLO
162,NRPE,INCU,AD,1741,Admirals,13/10/2010,COLO
147,NRPE,INCU,AD,1741,Admirals,13/10/2010,COLO
162,NRPE,INCU,INCU,39,Admirals,13/10/2010,COLO
147,NRPE,INCU,INCU,39,Admirals,13/10/2010,COLO
162,NRPE,INCU,INCU,1636,Admirals,13/10/2010,COLO
147,NRPE,INCU,INCU,1636,Admirals,13/10/2010,COLO
177,NRPE,CHIC,CHIC,29,Admirals,13/11/2016,COLO
163,NRPE,CHIC,CHIC,29,Admirals,13/11/2016,COLO
148,NRPE,CHIC,CHIC,29,Admirals,13/11/2016,COLO
177,NRPE,CHIC,CHIC,102,Admirals,13/11/2016,COLO
163,NRPE,CHIC,CHIC,102,Admirals,13/11/2016,COLO
148,NRPE,CHIC,CHIC,102,Admirals,13/11/2016,COLO
177,NRPE,CHIC,CHIC,860,Admirals,13/11/2016,COLO
163,NRPE,CHIC,CHIC,860,Admirals,13/11/2016,COLO
148,NRPE,CHIC,CHIC,860,Admirals,13/11/2016,COLO
164,NRPE,CHIC,CHIC,11,Admirals,14/01/2010,COLO
149,NRPE,CHIC,CHIC,11,Admirals,14/01/2010,COLO
164,NRPE,CHIC,CHIC,722,Admirals,14/01/2010,COLO
149,NRPE,CHIC,CHIC,722,Admirals,14/01/2010,COLO
150,NRPE,CHIC,CHIC,11,Admirals,15/01/2016,COLO
165,NRPE,CHIC,CHIC,11,Admirals,15/01/2016,COLO
178,NRPE,CHIC,CHIC,11,Admirals,15/01/2016,COLO
150,NRPE,CHIC,CHIC,40,Admirals,15/01/2016,COLO
165,NRPE,CHIC,CHIC,40,Admirals,15/01/2016,COLO
178,NRPE,CHIC,CHIC,40,Admirals,15/01/2016,COLO
150,NRPE,CHIC,CHIC,437,Admirals,15/01/2016,COLO
165,NRPE,CHIC,CHIC,437,Admirals,15/01/2016,COLO
178,NRPE,CHIC,CHIC,437,Admirals,15/01/2016,COLO
137,SOAL,INCU,AD,4,Admirals,15/10/2011,SURV
137,SOAL,INCU,AON,3,Admirals,15/10/2011,SURV
151,NRPE,INCU,AD,5,Admirals,18/10/2012,COLO
166,NRPE,INCU,AD,5,Admirals,18/10/2012,COLO
179,NRPE,INCU,AD,5,Admirals,18/10/2012,COLO
151,NRPE,INCU,AD,86,Admirals,18/10/2012,COLO
166,NRPE,INCU,AD,86,Admirals,18/10/2012,COLO
179,NRPE,INCU,AD,86,Admirals,18/10/2012,COLO
151,NRPE,INCU,AD,1085,Admirals,18/10/2012,COLO
166,NRPE,INCU,AD,1085,Admirals,18/10/2012,COLO
179,NRPE,INCU,AD,1085,Admirals,18/10/2012,COLO
151,NRPE,INCU,INCU,5,Admirals,18/10/2012,COLO
166,NRPE,INCU,INCU,5,Admirals,18/10/2012,COLO
179,NRPE,INCU,INCU,5,Admirals,18/10/2012,COLO
151,NRPE,INCU,INCU,65,Admirals,18/10/2012,COLO
166,NRPE,INCU,INCU,65,Admirals,18/10/2012,COLO
179,NRPE,INCU,INCU,65,Admirals,18/10/2012,COLO
151,NRPE,INCU,INCU,891,Admirals,18/10/2012,COLO
166,NRPE,INCU,INCU,891,Admirals,18/10/2012,COLO
179,NRPE,INCU,INCU,891,Admirals,18/10/2012,COLO
134,NRPE,INCU,AON,1250,Admirals,19/09/2004,COLO
140,NRPE,INCU,AD,1195,Admirals,19/10/2005,COLO
140,NRPE,INCU,INCU,1087,Admirals,19/10/2005,COLO
180,NRPE,INCU,INCU,0,Admirals,19/10/2011,COLO
152,NRPE,INCU,INCU,0,Admirals,19/10/2011,COLO
167,NRPE,INCU,INCU,0,Admirals,19/10/2011,COLO
180,NRPE,INCU,INCU,73,Admirals,19/10/2011,COLO
152,NRPE,INCU,INCU,73,Admirals,19/10/2011,COLO
167,NRPE,INCU,INCU,73,Admirals,19/10/2011,COLO
180,NRPE,INCU,INCU,792,Admirals,19/10/2011,COLO
152,NRPE,INCU,INCU,792,Admirals,19/10/2011,COLO
167,NRPE,INCU,INCU,792,Admirals,19/10/2011,COLO
141,NRPE,INCU,INCU,682,Admirals,20/10/2008,COLO
153,NRPE,CHIC,CHIC,11,Admirals,22/11/2014,COLO
168,NRPE,CHIC,CHIC,11,Admirals,22/11/2014,COLO
181,NRPE,CHIC,CHIC,11,Admirals,22/11/2014,COLO
153,NRPE,CHIC,CHIC,62,Admirals,22/11/2014,COLO
168,NRPE,CHIC,CHIC,62,Admirals,22/11/2014,COLO
181,NRPE,CHIC,CHIC,62,Admirals,22/11/2014,COLO
153,NRPE,CHIC,CHIC,774,Admirals,22/11/2014,COLO
168,NRPE,CHIC,CHIC,774,Admirals,22/11/2014,COLO
181,NRPE,CHIC,CHIC,774,Admirals,22/11/2014,COLO
135,NRPE,INCU,INCU,1200,Admirals,23/11/2003,COLO
136,NRPE,INCU,INCU,730,Admirals,26/10/2000,COLO
182,NRPE,INCU,AD,35,Admirals,26/10/2009,COLO
154,NRPE,INCU,AD,35,Admirals,26/10/2009,COLO
169,NRPE,INCU,AD,35,Admirals,26/10/2009,COLO
182,NRPE,INCU,AD,578,Admirals,26/10/2009,COLO
154,NRPE,INCU,AD,578,Admirals,26/10/2009,COLO
169,NRPE,INCU,AD,578,Admirals,26/10/2009,COLO
182,NRPE,INCU,AD,1004,Admirals,26/10/2009,COLO
154,NRPE,INCU,AD,1004,Admirals,26/10/2009,COLO
