VisitID,NestID,DateGood,Time,Stage,Status,Content,Attendance,FailureCause,NOTES
1,ANTE_2016_Cyclops__1,2016-12-06,12:00,INCU,Alive,1,,,NA
2,ANTE_2016_Cyclops__1,2016-12-30,12:00,CHIC,Alive,1,,,NA
3,ANTE_2016_Cyclops__1,2017-01-25,12:00,FLED,Fledged,0,,,NA
4,ANTE_2016_Cyclops__10,2017-01-06,12:00,INCU,Alive,1,,,NA
5,ANTE_2016_Cyclops__10,2017-01-25,12:00,CHIC,Alive,1,,ringed,NA
6,ANTE_2016_Cyclops__10,2017-02-24,12:00,FLED,Fledged,0,,,NA
7,ANTE_2016_Cyclops__12,2017-01-06,12:00,INCU,Alive,1,,,NA
8,ANTE_2016_Cyclops__12,2017-01-25,12:00,CHIC,Alive,1,,ringed,NA
9,ANTE_2016_Cyclops__12,2017-02-24,12:00,FLED,Fledged,0,,,NA
10,ANTE_2016_Cyclops__13,2017-02-24,12:00,CHIC,Alive,1,,ringed,NA
11,ANTE_2016_Cyclops__2,2016-12-06,12:00,INCU,Alive,1,,,NA
12,ANTE_2016_Cyclops__2,2016-12-30,12:00,CHIC,Alive,1,,,NA
13,ANTE_2016_Cyclops__2,2017-01-06,12:00,CHIC,Alive,1,,ringed,NA
14,ANTE_2016_Cyclops__2,2017-01-25,12:00,FLED,Fledged,0,,,NA
15,ANTE_2016_Cyclops__3,2016-12-06,12:00,INCU,Alive,1,,,NA
16,ANTE_2016_Cyclops__3,2016-12-30,12:00,INCU,Alive,1,,,NA
17,ANTE_2016_Cyclops__3,2017-01-06,12:00,INCU,Alive,1,,ringed,NA
18,ANTE_2016_Cyclops__3,2017-01-25,12:00,FAIL,Failed,0,,dead chick,NA
19,ANTE_2016_Cyclops__4,2016-12-06,12:00,INCU,Alive,1,,,NA
20,ANTE_2016_Cyclops__4,2016-12-30,12:00,FAIL,Failed,0,,,NA
21,ANTE_2016_Cyclops__5,2016-12-06,12:00,INCU,Alive,1,,,NA
22,ANTE_2016_Cyclops__5,2016-12-30,12:00,FAIL,Failed,0,,,NA
23,ANTE_2016_Cyclops__7,2016-12-30,12:00,INCU,Alive,1,,,NA
24,ANTE_2016_Cyclops__7,2017-01-06,12:00,INCU,Alive,1,,,NA
25,ANTE_2016_Cyclops__7,2017-01-25,12:00,CHIC,Alive,1,,ringed,NA
26,ANTE_2016_Cyclops__7,2017-02-24,12:00,FLED,Fledged,0,,,NA
27,ANTE_2016_Cyclops__8,2016-12-30,12:00,INCU,Alive,1,,,NA
28,ANTE_2016_Cyclops__8,2017-01-06,12:00,FAIL,Failed,0,,,NA
29,ANTE_2016_Cyclops__9,2016-12-30,12:00,INCU,Alive,1,,,NA
30,ANTE_2016_Cyclops__9,2017-01-06,12:00,CHIC,Alive,1,,,NA
31,ANTE_2016_Cyclops__9,2017-01-25,12:00,CHIC,Alive,1,,ringed,NA
32,ANTE_2016_Cyclops__9,2017-02-24,12:00,FLED,Fledged,0,,,NA
33,ANTE_2016_Rivercrossing__1,2017-01-06,12:00,INCU,Alive,1,,,NA
34,ANTE_2016_Rivercrossing__1,2017-01-21,12:00,CHIC,Alive,1,,ringed,NA
35,ANTE_2016_Rivercrossing__1,2017-01-25,12:00,CHIC,Alive,1,,,NA
36,ANTE_2016_Rivercrossing__1,2017-02-17,12:00,FLED,Fledged,0,,,NA
37,ANTE_2016_Snoekgat__1,2016-12-28,12:00,CHIC,Alive,1,,ringed,NA
38,ANTE_2016_Snoekgat__1,2017-01-06,12:00,CHIC,Alive,1,,,NA
39,ANTE_2016_Snoekgat__1,2017-02-17,12:00,FLED,Fledged,0,,,NA
40,ANTE_2016_Snoekgat__2,2016-12-28,12:00,INCU,Alive,1,,,NA
41,ANTE_2016_Snoekgat__2,2017-01-06,12:00,FAIL,Failed,0,,,NA
42,ANTE_2016_Snoekgat__4,2016-12-28,12:00,INCU,Alive,1,,,NA
43,ANTE_2016_Snoekgat__4,2017-01-06,12:00,INCU,Alive,1,,,NA
44,ANTE_2016_Snoekgat__4,2017-02-17,12:00,FAIL,Failed,0,,,NA
45,ANTE_2016_Snoekgat__6,2017-01-06,12:00,INCU,Alive,1,,,NA
46,ANTE_2016_Snoekgat__6,2017-01-21,12:00,FAIL,Failed,0,,,NA
47,ANTE_2016_Snoekgat__7,2017-01-21,12:00,INCU,Alive,1,,,NA
48,ANTE_2016_Snoekgat__7,2017-02-17,12:00,CHIC,Alive,1,,ringed,NA
49,ATPE_2013_Seal Beach_1_25,2013-12-20,12:00,CHIC,Alive,1,,,NA
50,ATPE_2013_Seal Beach_1_25,2013-12-20,12:00,CHIC,Alive,1,,,NA
51,ATPE_2013_Seal Beach_1_25,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
52,ATPE_2013_Seal Beach_1_25,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
53,ATPE_2013_Seal Beach_5_45,2013-12-20,12:00,CHIC,Alive,1,,,NA
54,ATPE_2013_Seal Beach_5_45,2013-12-20,12:00,CHIC,Alive,1,,,NA
55,ATPE_2013_Seal Beach_5_45,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
56,ATPE_2013_Seal Beach_5_45,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
57,ATPE_2013_Seal Beach_5_51,2013-12-20,12:00,CHIC,Alive,1,,,NA
58,ATPE_2013_Seal Beach_5_51,2013-12-20,12:00,CHIC,Alive,1,,,NA
59,ATPE_2013_Seal Beach_5_51,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
60,ATPE_2013_Seal Beach_5_51,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
61,ATPE_2013_Seal Beach_7_68,2013-12-20,12:00,CHIC,Alive,1,,,NA
